data_date,county_code,district_code,school_code,direct_funded_charter_school_number,provision_two_three_school,data_source,county_name,lea_name,school_name,low_grade,high_grade,enrollment_k_12,free_meal_count_k_12,percent_eligible_free_k_12,frpm_total_undup_count_k_12,frpm_percent_eligible_k_12,enrollment_5_17,free_meal_count_5_17,percent_eligible_5_17,frpm_total_undup_count_5_17,frpm_percent_eligible_5_17
2012-10-01,01,61259,6001895,    ,N,CALPADS,Alameda        ,Oakland Unified,Kaiser Elementary,KK,05,271,36,13.28,48,17.71,269,36,13.38,47,17.47
2012-10-01,01,61259,6001903,    ,Y,NSD,Alameda        ,Oakland Unified,New Highland Academy,KK,05,298,NULL,84.18,NULL,91.93,290,NULL,84.18,NULL,91.93
2012-10-01,01,61259,6001911,    ,N,CALPADS,Alameda        ,Oakland Unified,Hillcrest Elementary,KK,08,348,12,3.45,13,3.74,348,12,3.45,13,3.74
2012-10-01,01,61259,6001929,    ,Y,NSD,Alameda        ,Oakland Unified,Horace Mann Elementary,KK,05,355,NULL,76.54,NULL,85.75,351,NULL,76.54,NULL,85.75
2012-10-01,01,61259,6001945,    ,N,CALPADS,Alameda        ,Oakland Unified,Joaquin Miller Elementary,KK,05,421,60,14.25,79,18.76,420,60,14.29,79,18.81
2012-10-01,01,61259,6001978,    ,Y,NSD,Alameda        ,Oakland Unified,Lafayette Elementary,KK,05,299,NULL,68.44,NULL,84.05,294,NULL,68.44,NULL,84.05
2012-10-01,01,61259,6001994,    ,N,CALPADS,Alameda        ,Oakland Unified,Laurel Elementary,KK,05,533,346,64.92,413,77.49,525,343,65.33,409,77.9
2012-10-01,01,61259,6002018,    ,N,CALPADS,Alameda        ,Oakland Unified,Lincoln Elementary,KK,05,702,468,66.67,569,81.05,699,468,66.95,569,81.4
2012-10-01,01,61259,6002042,    ,Y,NSD,Alameda        ,Oakland Unified,Manzanita Community,KK,05,342,NULL,81.21,NULL,87.86,339,NULL,81.21,NULL,87.86
2012-10-01,01,61259,6002059,    ,Y,NSD,Alameda        ,Oakland Unified,Markham Elementary,KK,05,361,NULL,88.59,NULL,93.75,334,NULL,88.59,NULL,93.75
2012-10-01,01,61259,6002075,    ,Y,NSD,Alameda        ,Oakland Unified,Bridges Academy,KK,05,381,NULL,77,NULL,85.53,379,NULL,77,NULL,85.53
2012-10-01,01,61259,6002083,    ,N,CALPADS,Alameda        ,Oakland Unified,Montclair Elementary,KK,05,501,31,6.19,34,6.79,498,31,6.22,34,6.83
2012-10-01,01,61259,6002091,    ,Y,NSD,Alameda        ,Oakland Unified,Parker Elementary,KK,05,180,NULL,80.54,NULL,85.95,179,NULL,80.54,NULL,85.95
2012-10-01,01,61259,6002109,    ,N,CALPADS,Alameda        ,Oakland Unified,Peralta Elementary,KK,05,333,89,26.73,120,36.04,327,89,27.22,120,36.7
2012-10-01,01,61259,6002117,    ,N,CALPADS,Alameda        ,Oakland Unified,Piedmont Avenue Elementary,KK,05,384,237,61.72,263,68.49,376,229,60.9,255,67.82
2012-10-01,01,61259,6002125,    ,Y,NSD,Alameda        ,Oakland Unified,Preparatory Literary Academy of Cultural Excellenc,KK,05,198,NULL,72.73,NULL,80.3,189,NULL,72.73,NULL,80.3
2012-10-01,01,61259,6002141,    ,N,CALPADS,Alameda        ,Oakland Unified,Redwood Heights Elementary,KK,05,375,72,19.2,86,22.93,372,72,19.35,86,23.12
2012-10-01,01,61259,6002174,    ,N,CALPADS,Alameda        ,Oakland Unified,Sequoia Elementary,KK,05,400,149,37.25,185,46.25,396,147,37.12,183,46.21
2012-10-01,01,61259,6002182,    ,N,CALPADS,Alameda        ,Oakland Unified,Sobrante Park Elementary,KK,05,225,191,84.89,197,87.56,223,189,84.75,195,87.44
2012-10-01,01,61259,6002190,    ,Y,NSD,Alameda        ,Oakland Unified,Esperanza Elementary,KK,05,321,NULL,89.59,NULL,99.07,318,NULL,89.59,NULL,99.07
2012-10-01,01,61259,6002216,    ,N,CALPADS,Alameda        ,Oakland Unified,Thornhill Elementary,KK,05,391,16,4.09,19,4.86,385,16,4.16,18,4.68
2012-10-01,01,61259,6002273,    ,Y,NSD,Alameda        ,Oakland Unified,ACORN Woodland Elementary,KK,05,267,NULL,86.7,NULL,87.22,263,NULL,86.7,NULL,87.22
2012-10-01,01,61259,6056998,    ,Y,NSD,Alameda        ,Oakland Unified,Bret Harte Middle,06,08,550,NULL,75.67,NULL,82.83,550,NULL,75.67,NULL,82.83
2012-10-01,01,61259,6057004,    ,N,CALPADS,Alameda        ,Oakland Unified,Claremont Middle,06,08,405,211,52.1,237,58.52,405,211,52.1,237,58.52
2012-10-01,01,61259,6057020,    ,Y,NSD,Alameda        ,Oakland Unified,Frick Middle,06,08,353,NULL,68.41,NULL,70.88,353,NULL,68.41,NULL,70.88
2012-10-01,01,61259,6057046,    ,Y,NSD,Alameda        ,Oakland Unified,Hoover Elementary,KK,05,318,NULL,86.56,NULL,92.19,315,NULL,86.56,NULL,92.19
2012-10-01,01,61259,6057061,    ,N,CALPADS,Alameda        ,Oakland Unified,Edna Brewer Middle,06,08,806,444,55.09,534,66.25,806,444,55.09,534,66.25
2012-10-01,01,61259,6057079,    ,N,CALPADS,Alameda        ,Oakland Unified,Montera Middle,06,08,947,337,35.59,390,41.18,946,336,35.52,389,41.12
2012-10-01,01,61259,6057087,    ,Y,NSD,Alameda        ,Oakland Unified,Roosevelt Middle,06,08,630,NULL,73.34,NULL,75.08,630,NULL,73.34,NULL,75.08
2012-10-01,01,61259,6057095,    ,Y,NSD,Alameda        ,Oakland Unified,Westlake Middle,06,08,591,NULL,57.62,NULL,63.32,591,NULL,57.62,NULL,63.32
2012-10-01,01,61259,6066450,    ,Y,NSD,Alameda        ,Oakland Unified,Madison Middle,06,08,375,NULL,79.31,NULL,89.39,375,NULL,79.31,NULL,89.39
2012-10-01,01,61259,6072235,    ,Y,NSD,Alameda        ,Oakland Unified,"Martin Luther King, Jr. Elementary",KK,05,328,NULL,76.45,NULL,79.65,323,NULL,76.45,NULL,79.65
2012-10-01,01,61259,6096523,    ,N,CALPADS,Alameda        ,Oakland Unified,La Escuelita Elementary,KK,05,279,216,77.42,239,85.66,255,196,76.86,215,84.31
2012-10-01,01,61259,6098701,    ,Y,NSD,Alameda        ,Oakland Unified,Hillside Academy,06,12,15,NULL,47.37,NULL,52.63,13,NULL,47.37,NULL,52.63
2012-10-01,01,61259,6111660,0014,N,CALPADS,Alameda        ,Oakland Unified,Oakland Charter Academy,06,08,244,184,75.41,209,85.66,244,184,75.41,209,85.66
2012-10-01,01,61259,6113807,    ,N,CALPADS,Alameda        ,Oakland Unified,American Indian Public Charter,05,08,286,157,54.9,211,73.78,286,157,54.9,211,73.78
2012-10-01,01,61259,6114011,    ,N,CALPADS,Alameda        ,Oakland Unified,"Independent Study, Sojourner Truth",KK,08,217,217,100,217,100,163,163,100,163,100
2012-10-01,01,61259,6117394,0218,Y,NSD,Alameda        ,Oakland Unified,Reems (Ernestine C.) Academy of Technology and Art,KK,08,317,NULL,91.74,NULL,96.58,308,NULL,91.74,NULL,96.58
2012-10-01,01,61259,6117568,0252,N,CALPADS,Alameda        ,Oakland Unified,Aspire Monarch Academy,KK,05,388,325,83.76,370,95.36,382,319,83.51,364,95.29
2012-10-01,01,61259,6117972,0302,N,CALPADS,Alameda        ,Oakland Unified,North Oakland Community Charter,KK,08,222,28,12.61,41,18.47,220,28,12.73,41,18.64
2012-10-01,01,61259,6118608,1443,Y,NSD,Alameda        ,Oakland Unified,ASCEND,KK,08,437,NULL,80.18,NULL,90.21,434,NULL,80.18,NULL,90.21
2012-10-01,01,61259,6118616,    ,N,CALPADS,Alameda        ,Oakland Unified,International Community,KK,05,346,346,100,346,100,342,342,100,342,100
2012-10-01,01,61259,6118640,    ,Y,NSD,Alameda        ,Oakland Unified,Melrose Leadership Academy,KK,08,297,NULL,57.67,NULL,65.67,296,NULL,57.67,NULL,65.67
2012-10-01,01,61259,6118657,    ,Y,NSD,Alameda        ,Oakland Unified,Urban Promise Academy,06,08,320,NULL,77.88,NULL,90.03,320,NULL,77.88,NULL,90.03
