id,site_code,state_cde_code,name,area_network_id,network,net_cluster,campus_name,site_type,site_type_norm,address,city,zip_code,grades_served,low_grade,high_grade,region,lat,lng,direct_funded_charter_school
17,122,6001879,Grass Valley Elementary,3,A3,A3.1,NULL,Elementary,Elementary,4720 Dunkirk Ave,Oakland,94605,TK-5,0,5,3,-122.125,37.753,0
18,123,115576,Futures Elementary,2,A2,A2.1,Lockwood,Elementary,Elementary,6701 International Blvd,Oakland,94621,K-5,0,5,3,-122.192,37.7614,0
19,125,6001903,New Highland Academy,3,A3,A3.1,Highland,Elementary,Elementary,8521 A St,Oakland,94621,K-5,0,5,3,-122.179,37.7522,0
20,127,6001911,Hillcrest School (K-8),3,A3,A3.2,NULL,K-8,K-8,30 Marguerite Dr,Oakland,94618,K-8,0,8,1,-122.233,37.8405,0
21,129,6001978,Lafayette Elementary,1,A1,A1.1,NULL,Elementary,Elementary,1700 Market St,Oakland,94607,K-5,0,5,1,-122.28,37.8104,0
22,131,6001994,Laurel Elementary,2,A2,A2.2,NULL,Elementary,Elementary,3750 Brown Ave,Oakland,94619,K-5,0,5,2,-122.197,37.7928,0
23,133,6002018,Lincoln Elementary,1,A1,A1.2,NULL,Elementary,Elementary,225 11th St,Oakland,94607,K-5,0,5,1,-122.267,37.8,0
24,136,6001929,Horace Mann Elementary,3,A3,A3.2,NULL,Elementary,Elementary,5222 Ygnacio Ave,Oakland,94601,TK-5,0,5,2,-122.202,37.7736,0
25,138,6002059,Markham Elementary,3,A3,A3.1,NULL,Elementary,Elementary,7220 Krause Ave,Oakland,94605,TK-5,0,5,3,-122.179,37.7654,0
26,142,6001945,Joaquin Miller Elementary,1,A1,A1.1,NULL,Elementary,Elementary,5525 Ascot Dr,Oakland,94611,K-5,0,5,1,-122.202,37.8184,0
27,143,6002083,Montclair Elementary,1,A1,A1.1,NULL,Elementary,Elementary,1757 Mountain Blvd,Oakland,94611,K-5,0,5,1,-122.213,37.8314,0
28,144,6002091,Parker Elementary,3,A3,A3.2,NULL,Elementary,Elementary,7929 Ney Ave,Oakland,94605,TK-5,0,5,3,-122.166,37.7655,0
29,145,6002109,Peralta Elementary,1,A1,A1.1,NULL,Elementary,Elementary,460 63rd St,Oakland,94609,K-5,0,5,1,-122.259,37.8491,0
30,146,6002117,Piedmont Avenue Elementary,1,A1,A1.1,NULL,Elementary,Elementary,4314 Piedmont Ave,Oakland,94611,K-5,0,5,1,-122.249,37.8291,0
31,148,6002141,Redwood Heights Elementary,2,A2,A2.2,NULL,Elementary,Elementary,4401 39th Ave,Oakland,94619,K-5,0,5,2,-122.187,37.7969,0
32,149,115204,Community United Elementary School,2,A2,A2.1,Lockwood,Elementary,Elementary,6701 International Blvd,Oakland,94621,TK-5,0,5,3,-122.192,37.7614,0
33,151,6002174,Sequoia Elementary,2,A2,A2.2,NULL,Elementary,Elementary,3730 Lincoln Ave,Oakland,94602,TK-5,0,5,1,-122.211,37.8023,0
34,154,6002182,Madison Park Lower Campus,3,A3,A3.2,NULL,Elementary,Elementary,470 El Paseo Dr,Oakland,94603,K-5,0,5,3,-122.177,37.7284,0
35,157,6002216,Thornhill Elementary,1,A1,A1.2,NULL,Elementary,Elementary,5880 Thornhill Dr,Oakland,94611,K-5,0,5,1,-122.211,37.8361,0
36,165,6002273,ACORN Woodland Elementary,3,A3,A3.1,NULL,Elementary,Elementary,1025 81st Ave,Oakland,94621,K-5,0,5,3,-122.186,37.753,0
37,166,6001713,Howard Elementary,3,A3,A3.2,NULL,Elementary,Elementary,8755 Fontaine St,Oakland,94605,K-5,0,5,3,-122.151,37.7619,0
38,168,6001697,Carl Munck Elementary,1,A1,A1.2,NULL,Elementary,Elementary,11900 Campus Dr,Oakland,94619,K-5,0,5,3,-122.173,37.7947,0
39,170,6057046,Hoover Elementary,1,A1,A1.1,NULL,Elementary,Elementary,890 Brockhurst St,Oakland,94608,TK-5,0,5,1,-122.275,37.8233,0
40,171,6001895,Kaiser Elementary,1,A1,A1.2,NULL,Elementary,Elementary,25 South Hill Ct,Oakland,94618,K-5,0,5,1,-122.232,37.8535,0
41,172,112813,Fred T. Korematsu Discovery Academy,2,A2,A2.1,Stonehurst,Elementary,Elementary,10315 E St,Oakland,94603,K-5,0,5,3,-122.174,37.7375,0
42,175,110247,SEED Elementary,2,A2,A2.1,Manzanita,Elementary,Elementary,2409 E 27th St,Oakland,94601,TK-5,0,5,2,-122.225,37.7927,0
43,177,6002190,Esperanza Elementary,2,A2,A2.1,Stonehurst,Elementary,Elementary,10315 E St,Oakland,94603,K-5,0,5,3,-122.174,37.7375,0
44,178,6002075,Bridges At Melrose,2,A2,A2.2,Melrose,Elementary,Elementary,1325 53rd Ave,Oakland,94601,TK-5,0,5,2,-122.207,37.7674,0
45,179,6002042,Manzanita Community School,2,A2,A2.1,Manzanita,Elementary,Elementary,2409 E 27th St,Oakland,94601,K-5,0,5,2,-122.225,37.7927,0
46,181,102988,EnCompass Academy,3,A3,A3.1,NULL,Elementary,Elementary,1025 81st Ave,Oakland,94621,K-5,0,5,3,-122.186,37.753,0
47,182,6072235,M L King Jr Elementary,1,A1,A1.1,NULL,Elementary,Elementary,960 10th St,Oakland,94607,K-5,0,5,1,-122.283,37.8059,0
48,183,6002125,PLACE @ Prescott,1,A1,A1.1,Prescott,Elementary,Elementary,920 Campbell St,Oakland,94607,TK-5,0,5,1,-122.298,37.8083,0
49,186,6118616,International Community School,2,A2,A2.2,Cesar Chavez,Elementary,Elementary,2825 International Blvd,Oakland,94601,K-5,0,5,2,-122.23,37.7796,0
50,190,100792,Think College Now,2,A2,A2.2,Cesar Chavez,Elementary,Elementary,2825 International Blvd,Oakland,94601,K-5,0,5,2,-122.23,37.7796,0
51,191,110254,Sankofa Academy,3,A3,A3.2,NULL,K-8,K-8,581 61st Street,Oakland,94609,TK-7,0,7,1,-122.264,37.8471,0
52,192,110262,RISE Community School,3,A3,A3.1,Highland,Elementary,Elementary,8521 A Street,Oakland,94621,K-5,0,5,3,-122.179,37.7522,0
53,193,110239,Reach Academy,3,A3,A3.1,NULL,Elementary,Elementary,9860 Sunnyside St,Oakland,94603,TK-5,0,5,3,-122.162,37.7466,0
54,201,6057004,Claremont Middle School,4,MS,MS.1,NULL,Middle,Middle,5750 College Ave,Oakland,94618,6-8,6,8,1,-122.252,37.8458,0
55,203,6057020,Frick Middle School,4,MS,MS.1,NULL,Middle,Middle,2845 64th Ave,Oakland,94605,6-8,6,8,3,-122.184,37.7711,0
